City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Smyshlyayevka,100,RU,1570828587,46.65,2.78,53.75,47.73,94
Miyako,75,JP,1570828587,73.4,31.09,33.63,130.94,83
Cabedelo,10,BR,1570828588,77,10.29,-6.97,-34.84,83
La Palma,55,CO,1570828588,82.62,3.21,5.36,-74.39,61
Kharp,98,RU,1570828589,28.11,8.86,66.82,65.8,98
Southbridge,90,US,1570828589,57.99,11.41,42.08,-72.03,87
Usinsk,100,RU,1570828590,35.28,12.1,66,57.56,92
Beoumi,75,CI,1570828590,73.4,2.24,7.67,-5.58,100
Sao Joao de Pirabas,21,BR,1570828590,79.41,5.77,-0.77,-47.18,71
Lompoc,1,US,1570828591,87.01,12.75,34.64,-120.46,7
Los Llanos de Aridane,20,ES,1570828591,71.6,5.82,28.66,-17.92,68
Ixtapa,75,MX,1570828591,89.01,12.75,20.71,-105.21,66
Hamilton,20,CA,1570828592,68,17.22,43.26,-79.87,59
Vao,100,EE,1570828592,49.06,10.48,59.1,26.19,94
Mazagao,20,BR,1570828592,87.8,11.41,-0.12,-51.29,58
Liberal,1,US,1570828593,55.4,11.41,37.04,-100.92,20
Palmas,40,BR,1570828593,91.4,2.24,-10.18,-48.33,43
Ilebo,56,CD,1570828593,69.91,0.8,-4.33,20.59,93
Ucluelet,40,CA,1570828594,55.99,8.05,48.94,-125.55,71
Katobu,98,ID,1570828594,69.76,2.6,-4.94,122.53,85
Anadyr,100,RU,1570828594,28.4,6.71,64.73,177.51,86
Comodoro Rivadavia,40,AR,1570828594,59,4.7,-45.87,-67.48,47
Camargo,66,MX,1570828595,66.87,22.67,27.69,-105.17,42
Lodja,77,CD,1570828595,68.27,2.14,-3.52,23.6,99
Luzzi,20,IT,1570828595,64.4,3.36,39.45,16.29,93
Eydhafushi,52,MV,1570828596,82.71,4.56,5.1,73.07,71
Villa Maria,75,CO,1570828596,86,2.24,4.5,-74.09,82
Andros Town,40,BS,1570828596,84.2,12.75,24.73,-77.79,70
Port Blair,52,IN,1570828597,82.2,1.93,11.67,92.75,71
Banjar,90,ID,1570828597,70.29,1.47,-7.37,108.54,94
Ayr,35,AU,1570828598,71.01,5.97,-19.58,147.4,86
Seoul,0,KR,1570828598,62.6,8.05,37.57,126.98,77
Jalu,0,LY,1570828598,72.48,12.44,29.03,21.55,58
Antofagasta,20,CL,1570828599,62.6,12.75,-23.65,-70.4,63
Barao de Melgaco,100,BR,1570828599,87.8,2.24,-16.19,-55.97,45
Atasu,21,KZ,1570828600,50.32,14.28,48.68,71.64,73
Upata,69,VE,1570828600,79.57,2.56,8.02,-62.41,87
Marsa Matruh,40,EG,1570828600,75.2,4.7,31.35,27.25,83
Abancay,45,PE,1570828601,65.05,10.3,-13.64,-72.88,44
Mariinskiy Posad,86,RU,1570828601,44.04,6.57,56.12,47.72,94
Kenai,90,US,1570828644,46.99,4.7,60.55,-151.26,52
Seymchan,100,RU,1570828644,26.01,1.7,62.93,152.39,93
Mahanoro,68,MG,1570828645,75.9,18.56,-19.9,48.8,80
Cayenne,20,GF,1570828645,84.2,9.17,4.94,-52.33,74
Santiago de Chuco,87,PE,1570828645,54.64,5.05,-8.15,-78.17,50
Sobolevo,100,RU,1570828646,46.04,9.17,54.43,31.9,85
Watertown,90,US,1570828646,30.99,25.28,44.9,-97.12,86
Toppenish,1,US,1570828646,55.4,1.02,46.38,-120.31,32
Chimbote,18,PE,1570828647,64.49,9.16,-9.08,-78.59,69
Pilu,29,RO,1570828647,50,4.7,46.58,21.34,87
Manicore,20,BR,1570828648,89.6,4.7,-5.81,-61.3,59
Usvyaty,96,RU,1570828648,43.92,7.79,55.75,30.75,91
Dongsheng,100,CN,1570828648,65.34,10.7,29.72,112.52,78
Baoshan,75,CN,1570828649,73,6.71,31.41,121.49,88
Half Moon Bay,1,US,1570828649,82,6.93,37.46,-122.43,16
Sekoma,0,BW,1570828649,67.69,13.91,-24.51,23.93,51
Kodiak,75,US,1570828650,48.2,18.34,39.95,-94.76,34
Shelui,39,TZ,1570828650,74.93,10.67,-4.36,34.2,58
Lithakia,20,GR,1570828651,70,12.56,37.72,20.83,100
Newcastle,40,AU,1570828651,57.99,5.82,-32.93,151.78,93
North Bend,1,US,1570828651,70,5.82,43.41,-124.22,45
Conde,63,BR,1570828652,78.21,19.62,-11.81,-37.61,76
Areosa,1,PT,1570828652,64,1.12,41.72,-8.86,100
Erenhot,0,CN,1570828653,36.23,14.92,43.65,111.97,36
Kavieng,94,PG,1570828653,82.96,2.49,-2.57,150.8,68
Ulaanbaatar,40,MN,1570828653,15.8,2.24,47.92,106.92,61
Marzuq,18,YE,1570828654,74.12,1.89,14.4,46.47,56
Shingu,100,JP,1570828654,71.73,49.82,33.72,135.99,92
Nara,75,JP,1570828654,75,13.87,34.68,135.8,94
Bud,100,NO,1570828655,48.2,5.82,62.91,6.91,93
Sarangani,100,PH,1570828655,82.22,9.38,5.4,125.46,78
Garden City,1,US,1570828655,57.99,8.05,43.62,-116.24,20
Caucaia,20,BR,1570828656,80.6,16.11,-3.73,-38.66,74
Bathsheba,40,BB,1570828656,84.2,10.29,13.22,-59.52,70
Majene,100,ID,1570828656,73.92,2.65,-3.54,118.97,88
Ignatovka,100,RU,1570828657,44.62,1.51,53.95,47.65,92
Charlton,90,US,1570828657,57.2,11.41,42.14,-71.97,87
Kanniyakumari,81,IN,1570828657,80.8,6.33,8.08,77.57,80
Sao Filipe,0,CV,1570828658,78.67,11.35,14.9,-24.5,80
Sagua de Tanamo,15,CU,1570828658,79.57,4.48,20.58,-75.24,77
Shelburne,40,CA,1570828658,66.99,17.22,44.08,-80.2,39
Nabire,98,ID,1570828659,70.25,2.2,-3.36,135.5,95
Jumla,96,NP,1570828659,45.46,1.58,29.28,82.18,92
Gualeguaychu,56,AR,1570828660,84.99,4,-33.01,-58.51,61
Atherton,0,AU,1570828660,73.4,2.92,-17.27,145.48,83
Wenatchee,1,US,1570828661,55.4,4.7,47.42,-120.31,32
Gwadar,0,PK,1570828705,81.7,7.21,25.12,62.33,76
Hambantota,100,LK,1570828705,79.66,4.94,6.12,81.12,79
Woodward,1,US,1570828706,57,13.87,36.43,-99.39,20
Llanes,0,ES,1570828706,63,4.04,43.42,-4.75,97
Flinders,75,AU,1570828706,55.99,12.75,-34.58,150.85,87
Ajdabiya,0,LY,1570828707,73.74,10.12,30.75,20.22,79
Saint-Joseph,0,FR,1570828707,62.6,4.7,43.56,6.97,87
Mareeba,13,AU,1570828707,73.4,1.49,-16.99,145.42,83
Chitrakonda,43,IN,1570828708,68.32,1.86,18.12,82.08,95
Sarkand,100,KZ,1570828708,45.39,2.95,45.41,79.91,73
Manggar,100,ID,1570828708,80.92,4.69,-2.88,108.27,75
Sao Joao da Barra,100,BR,1570828709,77,16.11,-21.64,-41.05,78
Baracoa,71,CU,1570828709,82.85,8.65,20.35,-74.5,66
Meulaboh,96,ID,1570828709,80.08,8.57,4.14,96.13,79
Breasta,8,RO,1570828710,57.2,4.7,44.34,23.69,62
Coahuayana,54,MX,1570828710,85.91,1.08,18.62,-100.35,69
Mbandaka,100,CD,1570828712,69.71,1.48,0.05,18.26,93
Bueno Brandao,12,BR,1570828712,70.59,2.43,-22.44,-46.35,79
Nioki,98,CD,1570828712,69.91,1.96,-2.72,17.69,97
Sangar,100,RU,1570828713,16.68,6.99,63.92,127.47,75
Harper,90,US,1570828713,50,14.99,30.3,-99.24,57
Vila Velha,20,BR,1570828713,80.6,16.11,-3.71,-38.6,74
Sam Roi Yot,12,TH,1570828713,80.31,4.25,12.21,99.86,78
Askarovo,100,RU,1570828714,35.58,6.23,53.34,58.51,81
Octeville,90,FR,1570828714,60.8,16.11,49.63,-1.64,93
Nuevo Casas Grandes,0,MX,1570828714,66.18,10.65,30.42,-107.91,38
Coyah,75,GN,1570828715,84.2,9.17,9.71,-13.39,83
Mocuba,96,MZ,1570828715,75.52,6.67,-16.84,36.99,75
Totness,40,US,1570828715,82.4,3.36,33.74,-80.8,32
Ubajara,74,BR,1570828715,78.85,2.7,-3.85,-40.92,45
Auki,100,NG,1570828716,77.76,7.89,12.18,6.51,68
Vardo,1,US,1570828717,73.4,5.82,39.62,-77.74,31
Calvinia,25,ZA,1570828718,61.75,3.49,-31.47,19.78,17
Mahibadhoo,100,MV,1570828718,81.21,9.97,3.78,72.97,79
Balgazyn,0,RU,1570828719,27.39,1.95,51,95.2,48
Beni Suef,0,EG,1570828719,72.72,12.38,29.07,31.1,48
Bakel,2,SN,1570828719,91.87,8.65,14.9,-12.46,12
Vilyuysk,100,RU,1570828720,16.23,13.39,63.75,121.63,88
Nizhnyaya Tavda,100,RU,1570828720,38.08,7.01,57.67,66.17,74
Cape Canaveral,90,US,1570828720,84,12.75,28.41,-80.6,74
Walvis Bay,0,NA,1570828721,63,5.82,-22.95,14.51,100
Ilheus,40,BR,1570828721,80.6,9.17,-14.79,-39.05,74
Bismarck,1,US,1570828722,35.01,26.4,46.81,-100.78,64
Wanning,94,AT,1570828723,52,2.24,48.64,13.53,93
Warrnambool,0,AU,1570828764,53.01,1.01,-38.38,142.48,94
Omsukchan,76,RU,1570828764,20.19,7.15,62.53,155.8,93
Belmonte,87,PT,1570828765,66.99,3.57,40.36,-7.35,55
Sokoni,8,CD,1570828765,67.69,6.11,-12.89,28.78,63
Roseburg,1,US,1570828765,68,0.58,43.22,-123.34,36
Alice Springs,0,AU,1570828766,77,16.11,-23.7,133.88,12
Dezful,0,IR,1570828766,77.07,3.89,32.38,48.4,24
Qasigiannguit,90,GL,1570828766,35.6,14.99,68.82,-51.19,80
Amapa,20,HN,1570828767,91.4,18.34,15.09,-87.97,52
